Year,Group,Value,Destinazione
2014,Italia,8.79,Prodotti
2015,Italia,9.10,Prodotti
2016,Italia,9.61,Prodotti
2017,Italia,9.67,Prodotti
2014,Lombardia,2.86,Prodotti
2015,Lombardia,2.93,Prodotti
2016,Lombardia,2.98,Prodotti
2017,Lombardia,3.09,Prodotti
2014,Italia,2.44,Recupero
2015,Italia,2.61,Recupero
2016,Italia,2.80,Recupero
2017,Italia,4.35,Recupero
2014,Lombardia,1.09,Recupero
2015,Lombardia,1.05,Recupero
2016,Lombardia,1.15,Recupero
2017,Lombardia,1.40,Recupero
2014,Italia,6.10,Smaltimento
2015,Italia,5.82,Smaltimento
2016,Italia,6.49,Smaltimento
2017,Italia,5.21,Smaltimento
2014,Lombardia,1.74,Smaltimento
2015,Lombardia,1.51,Smaltimento
2016,Lombardia,1.80,Smaltimento
2017,Lombardia,1.67,Smaltimento
