Year,Group,Value,Tipo
2014,Vacanza,3.9,Aereo
2014,Vacanza,10.9,Treno
2014,Vacanza,74.6,Auto
2014,Vacanza,2.1,Nave
2014,Vacanza,8.5,Altro
2015,Vacanza,5.9,Aereo
2015,Vacanza,12.7,Treno
2015,Vacanza,71.9,Auto
2015,Vacanza,1.2,Nave
2015,Vacanza,8.2,Altro
2016,Vacanza,5.1,Aereo
2016,Vacanza,10.7,Treno
2016,Vacanza,75.6,Auto
2016,Vacanza,2.3,Nave
2016,Vacanza,6.3,Altro
2017,Vacanza,7.9,Aereo
2017,Vacanza,10.5,Treno
2017,Vacanza,71.8,Auto
2017,Vacanza,1.9,Nave
2017,Vacanza,8,Altro
2018,Vacanza,6.3,Aereo
2018,Vacanza,10.5,Treno
2018,Vacanza,73.3,Auto
2018,Vacanza,2.8,Nave
2018,Vacanza,7.1,Altro
2014,Lavoro,2.5,Aereo
2014,Lavoro,8.6,Treno
2014,Lavoro,42.9,Auto
2014,Lavoro,1.5,Nave
2014,Lavoro,14.5,Altro
2015,Lavoro,13.2,Aereo
2015,Lavoro,34.1,Treno
2015,Lavoro,32.8,Auto
2015,Lavoro,0.5,Nave
2015,Lavoro,19.3,Altro
2016,Lavoro,8.9,Aereo
2016,Lavoro,25.2,Treno
2016,Lavoro,44.4,Auto
2016,Lavoro,1.3,Nave
2016,Lavoro,20,Altro
2017,Lavoro,15.3,Aereo
2017,Lavoro,26.6,Treno
2017,Lavoro,44,Auto
2017,Lavoro,1.1,Nave
2017,Lavoro,12.9,Altro
2018,Lavoro,17.4,Aereo
2018,Lavoro,27.4,Treno
2018,Lavoro,37.3,Auto
2018,Lavoro,1.6,Nave
2018,Lavoro,16.3,Altro
2014,Totale,5,Aereo
2014,Totale,13.2,Treno
2014,Totale,70.6,Auto
2014,Totale,2,Nave
2014,Totale,9.2,Altro
2015,Totale,6.7,Aereo
2015,Totale,15.2,Treno
2015,Totale,67.5,Auto
2015,Totale,1.1,Nave
2015,Totale,9.5,Altro
2016,Totale,5.4,Aereo
2016,Totale,12,Treno
2016,Totale,72.7,Auto
2016,Totale,2.3,Nave
2016,Totale,7.6,Altro
2017,Totale,8.5,Aereo
2017,Totale,11.8,Treno
2017,Totale,69.6,Auto
2017,Totale,1.8,Nave
2017,Totale,8.3,Altro
2018,Totale,7.4,Aereo
2018,Totale,12.3,Treno
2018,Totale,69.6,Auto
2018,Totale,2.7,Nave
2018,Totale,8,Altro
