Year,Area,Value
2004,Italia,10.9
2005,Italia,11.1
2006,Italia,10.4
2007,Italia,10.7
2008,Italia,11.4
2009,Italia,10.8
2010,Italia,11.6
2011,Italia,17.8
2012,Italia,21.3
2013,Italia,18.8
2014,Italia,18.0
2015,Italia,17.0
2016,Italia,16.1
2017,Italia,15.2
2018,Italia,14.1
2004,NordOvest,3.5
2005,NordOvest,3.4
2006,NordOvest,3.6
2007,NordOvest,4.0
2008,NordOvest,4.6
2009,NordOvest,4.6
2010,NordOvest,4.5
2011,NordOvest,10.0
2012,NordOvest,13.3
2013,NordOvest,11.0	
2014,NordOvest,11.7
2015,NordOvest,9.9
2016,NordOvest,8.6
2017,NordOvest,11.6
2018,NordOvest,8.9
