Year,Value,Consumi,Area
2009,110.1 ,consumi interni lordi,Italia
2010,110.9 ,consumi interni lordi,Italia
2011,106.9 ,consumi interni lordi,Italia
2012,105.6 ,consumi interni lordi,Italia
2013,103.5 ,consumi interni lordi,Italia
2014,97.9 ,consumi interni lordi,Italia
2015,100.2,consumi interni lordi,Italia
2016,98.4,consumi interni lordi,Italia
2009,97.0,consumi interni lordi,Lombardia
2010,105.0,consumi interni lordi,Lombardia
2011,95.1,consumi interni lordi,Lombardia
2012,98.4,consumi interni lordi,Lombardia
2013,91.1,consumi interni lordi,Lombardia
2014,75.9,consumi interni lordi,Lombardia
2015,77.5,consumi interni lordi,Lombardia
2000,76.5,consumi finali,Lombardia
2001,76.7,consumi finali,Lombardia
2002,74.7,consumi finali,Lombardia
2003,76.2,consumi finali,Lombardia
2004,75.9,consumi finali,Lombardia
2005,76.0,consumi finali,Lombardia
2006,73.8,consumi finali,Lombardia
2007,71.3,consumi finali,Lombardia
2008,71.7,consumi finali,Lombardia
2009,75.2,consumi finali,Lombardia
2010,76.9,consumi finali,Lombardia
2011,71.9,consumi finali,Lombardia
2012,73.6,consumi finali,Lombardia
2013,74.1,consumi finali,Lombardia
2014,69.1,consumi finali,Lombardia
2015,72.1,consumi finali,Lombardia
2016,70.3,consumi finali,Lombardia
2017,68.9,consumi finali,Lombardia
