Year,PIL,Area
1996,1.2,Italia
1997,1.8,Italia
1998,1.8,Italia
1999,1.6,Italia
2000,3.7,Italia
2001,1.9,Italia
2002,0.0,Italia
2003,-0.4,Italia
2004,0.7,Italia
2005,0.2,Italia
2006,1.4,Italia
2007,0.9,Italia
2008,-1.7,Italia
2009,-5.8,Italia
2010,1.3,Italia
2011,0.3,Italia
2012,-3.4,Italia
2013,-2.3,Italia
2014,-0.2,Italia
2015,0.9,Italia
2016,1.5,Italia
2017,1.9,Italia
2018,1.0,Italia
1996,1.7,Lombardia
1997,1.4,Lombardia
1998,1.4,Lombardia
1999,0.4,Lombardia
2000,3.2,Lombardia
2001,1.9,Lombardia
2002,0.9,Lombardia
2003,-0.3,Lombardia
2004,-0.2,Lombardia
2005,0.0,Lombardia
2006,0.7,Lombardia
2007,0.8,Lombardia
2008,0.7,Lombardia
2009,-6.8,Lombardia
2010,3.7,Lombardia
2011,-0.2,Lombardia
2012,-3.4,Lombardia
2013,-2.7,Lombardia
2014,0.1,Lombardia
2015,1.1,Lombardia
2016,1.5,Lombardia
2017,2.6,Lombardia
