Year,Value,Area,tipo
1996,0.7,Italia,Pil/occ
1997,1.5,Italia,Pil/occ
1998,0.8,Italia,Pil/occ
1999,0.5,Italia,Pil/occ
2000,1.8,Italia,Pil/occ
2001,0.0,Italia,Pil/occ
2002,-1.4,Italia,Pil/occ
2003,-1.3,Italia,Pil/occ
2004,0.8,Italia,Pil/occ
2005,0.3,Italia,Pil/occ
2006,-0.2,Italia,Pil/occ
2007,0.2,Italia,Pil/occ
2008,-1.2,Italia,Pil/occ
2009,-3.7,Italia,Pil/occ
2010,2.4,Italia,Pil/occ
2011,0.4,Italia,Pil/occ
2012,-2.7,Italia,Pil/occ
2013,-0.1,Italia,Pil/occ
2014,-0.1,Italia,Pil/occ
2015,0.1,Italia,Pil/occ
2016,-0.1,Italia,Pil/occ
2017,0.5,Italia,Pil/occ
2018,-0.1,Italia,Pil/occ
1996,0.8,Lombardia,Pil/occ
1997,1.2,Lombardia,Pil/occ
1998,0.3,Lombardia,Pil/occ
1999,-0.7,Lombardia,Pil/occ
2000,2.0,Lombardia,Pil/occ
2001,-0.9,Lombardia,Pil/occ
2002,0.0,Lombardia,Pil/occ
2003,-1.3,Lombardia,Pil/occ
2004,0.4,Lombardia,Pil/occ
2005,1.0,Lombardia,Pil/occ
2006,-0.2,Lombardia,Pil/occ
2007,0.7,Lombardia,Pil/occ
2008,0.7,Lombardia,Pil/occ
2009,-4.7,Lombardia,Pil/occ
2010,5.6,Lombardia,Pil/occ
2011,0.5,Lombardia,Pil/occ
2012,-3.0,Lombardia,Pil/occ
2013,-0.3,Lombardia,Pil/occ
2014,0.2,Lombardia,Pil/occ
2015,0.2,Lombardia,Pil/occ
2016,0.1,Lombardia,Pil/occ
2017,0.7,Lombardia,Pil/occ
1996,0.7,Italia,VA/occ
1997,1.3,Italia,VA/occ
1998,0.7,Italia,VA/occ
1999,0.5,Italia,VA/occ
2000,1.8,Italia,VA/occ
2001,-0.1,Italia,VA/occ
2002,-1.3,Italia,VA/occ
2003,-1.4,Italia,VA/occ
2004,1.0,Italia,VA/occ
2005,0.2,Italia,VA/occ
2006,-0.1,Italia,VA/occ
2007,0.3,Italia,VA/occ
2008,-0.9,Italia,VA/occ
2009,-3.9,Italia,VA/occ
2010,2.5,Italia,VA/occ
2011,0.5,Italia,VA/occ
2012,-2.4,Italia,VA/occ
2013,0.2,Italia,VA/occ
2014,0.0,Italia,VA/occ
2015,0.2,Italia,VA/occ
2016,0.0,Italia,VA/occ
2017,0.7,Italia,VA/occ
2018,0.0,Italia,VA/occ
1996,0.8,Lombardia,VA/occ
1997,0.9,Lombardia,VA/occ
1998,0.1,Lombardia,VA/occ
1999,-0.8,Lombardia,VA/occ
2000,2.1,Lombardia,VA/occ
2001,-1.0,Lombardia,VA/occ
2002,0.0,Lombardia,VA/occ
2003,-1.4,Lombardia,VA/occ
2004,0.4,Lombardia,VA/occ
2005,0.9,Lombardia,VA/occ
2006,-0.3,Lombardia,VA/occ
2007,0.8,Lombardia,VA/occ
2008,0.9,Lombardia,VA/occ
2009,-4.8,Lombardia,VA/occ
2010,5.6,Lombardia,VA/occ
2011,0.5,Lombardia,VA/occ
2012,-2.6,Lombardia,VA/occ
2013,0.0,Lombardia,VA/occ
2014,0.4,Lombardia,VA/occ
2015,0.1,Lombardia,VA/occ
2016,0.1,Lombardia,VA/occ
2017,0.7,Lombardia,VA/occ
