Year,Group,Value
2004,Italia,7.064
2005,Italia,7.697
2006,Italia,8.378
2007,Italia,8.96
2008,Italia,9.937000000000001
2009,Italia,10.777000000000001
2010,Italia,11.450999999999999
2011,Italia,11.847999999999999
2012,Italia,11.992
2013,Italia,12.499
2014,Italia,13.401
2015,Italia,14.020999999999999
2016,Italia,15.822000000000001
2017,Italia,16.425
2004,Lombardia,1.96
2005,Lombardia,2.022
2006,Lombardia,2.154
2007,Lombardia,2.1959999999999997
2008,Lombardia,2.319
2009,Lombardia,2.353
2010,Lombardia,2.403
2011,Lombardia,2.4090000000000003
2012,Lombardia,2.395
2013,Lombardia,2.448
2014,Lombardia,2.615
2015,Lombardia,2.714
2016,Lombardia,3.2569999999999997
2017,Lombardia,3.262
