Year,Group,Value
2002,Italia,125
2003,Italia,174
2004,Italia,255
2005,Italia,391
2006,Italia,566
2007,Italia,740
2008,Italia,959
2009,Italia,1036
2010,Italia,1080
2011,Italia,1165
2012,Italia,1158
2013,Italia,1098
2014,Italia,1058
2015,Italia,1021
2016,Italia,1000
2017,Italia,982
2002,Lombardia,30
2003,Lombardia,35
2004,Lombardia,44
2005,Lombardia,59
2006,Lombardia,81
2007,Lombardia,102
2008,Lombardia,116
2009,Lombardia,126
2010,Lombardia,131
2011,Lombardia,151
2012,Lombardia,159
2013,Lombardia,166
2014,Lombardia,182
2015,Lombardia,191
2016,Lombardia,192
2017,Lombardia,215
