Year,Area,Value
1996,Italia,1.2
1997,Italia,1.8
1998,Italia,1.8
1999,Italia,1.6
2000,Italia,3.7
2001,Italia,1.9
2002,Italia,0.0
2003,Italia,-0.4
2004,Italia,0.7
2005,Italia,0.2
2006,Italia,1.4
2007,Italia,0.9
2008,Italia,-1.7
2009,Italia,-5.8
2010,Italia,1.3
2011,Italia,0.3
2012,Italia,-3.4
2013,Italia,-2.3
2014,Italia,-0.2
2015,Italia,0.9
2016,Italia,1.5
2017,Italia,1.9
2018,Italia,1.0
1996,Lombardia,1.7
1997,Lombardia,1.4
1998,Lombardia,1.4
1999,Lombardia,0.4
2000,Lombardia,3.2
2001,Lombardia,1.9
2002,Lombardia,0.9
2003,Lombardia,-0.3
2004,Lombardia,-0.2
2005,Lombardia,0.0
2006,Lombardia,0.7
2007,Lombardia,0.8
2008,Lombardia,0.7
2009,Lombardia,-6.8
2010,Lombardia,3.7
2011,Lombardia,-0.2
2012,Lombardia,-3.4
2013,Lombardia,-2.7
2014,Lombardia,0.1
2015,Lombardia,1.1
2016,Lombardia,1.5
2017,Lombardia,2.6
