Year,Area,Value
2004,Lombardia,109.4
2005,Lombardia,110.07
2006,Lombardia,108.98
2007,Lombardia,108.63
2008,Lombardia,108.33
2009,Lombardia,108.29
2010,Lombardia,108.64
2011,Lombardia,107.41
2012,Lombardia,105.08
2013,Lombardia,105.94
2014,Lombardia,105.72
2015,Lombardia,107.03
2016,Lombardia,107.21
2017,Lombardia,107.51
2004,Italia,99.3
2005,Italia,100.46
2006,Italia,100.56
2007,Italia,100.52
2008,Italia,99.51
2009,Italia,100.91
2010,Italia,100.0
2011,Italia,98.4
2012,Italia,96.29
2013,Italia,96.66
2014,Italia,96.91
2015,Italia,97.92
2016,Italia,98.26
2017,Italia,99.58
