Year,Group,Destinazione,Value
2014,Italia,Prodotti,8.79
2015,Italia,Prodotti,9.1
2016,Italia,Prodotti,9.61
2017,Italia,Prodotti,9.67
2014,Lombardia,Prodotti,2.86
2015,Lombardia,Prodotti,2.93
2016,Lombardia,Prodotti,2.98
2017,Lombardia,Prodotti,3.09
2014,Italia,Recupero,2.44
2015,Italia,Recupero,2.61
2016,Italia,Recupero,2.8
2017,Italia,Recupero,4.35
2014,Lombardia,Recupero,1.09
2015,Lombardia,Recupero,1.05
2016,Lombardia,Recupero,1.15
2017,Lombardia,Recupero,1.4
2014,Italia,Smaltimento,6.1
2015,Italia,Smaltimento,5.82
2016,Italia,Smaltimento,6.49
2017,Italia,Smaltimento,5.21
2014,Lombardia,Smaltimento,1.74
2015,Lombardia,Smaltimento,1.51
2016,Lombardia,Smaltimento,1.8
2017,Lombardia,Smaltimento,1.67
