Year,Group,Tipo,Value
2010,Italia,Totale,36.7
2011,Italia,Totale,38.5
2012,Italia,Totale,41.1
2013,Italia,Totale,41.8
2014,Italia,Totale,44.6
2015,Italia,Totale,46.0
2016,Italia,Totale,47.7
2017,Italia,Totale,49.4
2004,Italia,Differenziata-RSU,22.7
2005,Italia,Differenziata-RSU,24.3
2006,Italia,Differenziata-RSU,25.8
2007,Italia,Differenziata-RSU,27.5
2008,Italia,Differenziata-RSU,30.6
2009,Italia,Differenziata-RSU,33.6
2010,Italia,Differenziata-RSU,35.3
2011,Italia,Differenziata-RSU,37.7
2012,Italia,Differenziata-RSU,40.0
2013,Italia,Differenziata-RSU,42.3
2014,Italia,Differenziata-RSU,45.2
2015,Italia,Differenziata-RSU,47.5
2016,Italia,Differenziata-RSU,52.5
2017,Italia,Differenziata-RSU,55.5
2004,Lombardia,Differenziata-RSU,40.9
2005,Lombardia,Differenziata-RSU,42.5
2006,Lombardia,Differenziata-RSU,43.6
2007,Lombardia,Differenziata-RSU,44.5
2008,Lombardia,Differenziata-RSU,46.2
2009,Lombardia,Differenziata-RSU,47.8
2010,Lombardia,Differenziata-RSU,48.5
2011,Lombardia,Differenziata-RSU,49.9
2012,Lombardia,Differenziata-RSU,51.8
2013,Lombardia,Differenziata-RSU,53.3
2014,Lombardia,Differenziata-RSU,56.3
2015,Lombardia,Differenziata-RSU,58.7
2016,Lombardia,Differenziata-RSU,68.1
2017,Lombardia,Differenziata-RSU,69.6
