Year,Area,Value
2005,Italia,1.6
2006,Italia,1.3
2007,Italia,7.5
2008,Italia,2.2
2009,Italia,2.4
2010,Italia,1.5
2011,Italia,2.4
2012,Italia,4.3
2013,Italia,1.0
2014,Italia,1.2
2015,Italia,1.4
2016,Italia,2.2
2017,Italia,5.4
2018,Italia,0.6
2005,Lombardia,0.5
2006,Lombardia,0.3
2007,Lombardia,0.7
2008,Lombardia,0.5
2009,Lombardia,0.2
2010,Lombardia,0.1
2011,Lombardia,0.5
2012,Lombardia,0.6
2013,Lombardia,0.2
2014,Lombardia,0.2
2015,Lombardia,1.0
2016,Lombardia,0.6
2017,Lombardia,1.8
2018,Lombardia,0.1
